ERR164544.sam	sum:21153258
ERR164542.sam	sum:27317696
ERR164507.sam	sum:16998834
ERR164537.sam	sum:14324284
ERR164512.sam	sum:20472437
ERR164530.sam	sum:11292474
ERR164533.sam	sum:15614717
ERR164534.sam	sum:14449180
ERR164508.sam	sum:15622909
ERR164540.sam	sum:26074847
ERR164532.sam	sum:15207455
ERR164528.sam	sum:16278609
ERR164548.sam	sum:18018846
ERR164535.sam	sum:7165502
ERR164519.sam	sum:19049250
ERR164539.sam	sum:27657667
ERR164521.sam	sum:18832576
ERR164515.sam	sum:15175919
ERR164538.sam	sum:17071029
ERR164518.sam	sum:20560380
ERR164531.sam	sum:13857116
ERR164546.sam	sum:19064771
ERR164520.sam	sum:19300567
ERR164522.sam	sum:21367908
ERR164509.sam	sum:18915484
ERR164513.sam	sum:18255288
ERR164506.sam	sum:19326358
ERR164514.sam	sum:16933797
ERR164527.sam	sum:15261552
ERR164505.sam	sum:21394942
ERR164525.sam	sum:15947019
ERR164549.sam	sum:21917534
ERR164517.sam	sum:16265542
ERR164523.sam	sum:17800749
ERR164511.sam	sum:15526454
ERR164545.sam	sum:23688913
ERR164547.sam	sum:17329820
ERR164536.sam	sum:16909303
ERR164526.sam	sum:12485434
ERR164516.sam	sum:17808639
ERR164510.sam	sum:14041426
ERR164541.sam	sum:25158758
ERR164529.sam	sum:15407481
ERR164524.sam	sum:16581128
ERR164543.sam	sum:21209617
